full_name,a,e,i,om,w,q,ad,per_y,data_arc,n_obs_used,H,first_obs,epoch
       (2011 LJ1),2.414,0.6925,7.39,140.16,216.84,0.742,4.09,3.75,4223,135,19.3,2011-06-04,2460200.5
       (2011 LY2),1.461,0.2741,12.22,74.66,78.09,1.061,1.86,1.77,2555,48,21.2,2011-06-04,2460200.5
       (2011 LZ2),1.383,0.3064,4.86,253.97,318.27,0.959,1.81,1.63,7,50,25.34,2011-06-05,2455721.5
       (2011 LV10),1.328,0.2297,9.61,77.08,131.44,1.023,1.63,1.53,2,20,25.1,2011-06-06,2455719.5
       (2011 LS17),2.447,0.6372,3.57,46.47,287.03,0.888,4.01,3.83,20,14,22.6,2011-06-07,2455722.5
       (2011 LA19),2.912,0.6517,19.21,97.96,202.77,1.014,4.81,4.97,3750,298,19.17,2011-06-09,2460200.5
       (2011 LB19),1.248,0.1507,24.9,78.71,218.93,1.06,1.44,1.4,2,25,24.1,2011-06-09,2455722.5
       (2011 LC19),3.197,0.7323,10.5,219.41,139.19,0.856,5.54,5.72,2143,349,18.8,2011-06-10,2460200.5
       (2011 LD19),1.983,0.4367,70.07,287.3,62.17,1.117,2.85,2.79,4120,155,17.92,2011-06-07,2460200.5
       (2011 LJ19),2.622,0.6208,1.54,296.44,30.47,0.994,4.25,4.25,167,418,21.3,2011-05-29,2460200.5
       (2011 LK19),1.662,0.2996,33.55,254.6,340.63,1.164,2.16,2.14,28,34,22.4,2011-06-09,2460200.5
       (2011 LJ20),2.613,0.5186,41.51,85.13,209.33,1.258,3.97,4.22,22,35,20.6,2011-06-11,2460200.5
       (2011 LY20),1.434,0.1371,10.47,82.77,113.61,1.238,1.63,1.72,4395,32,22.4,2011-06-06,2460200.5
       (2011 LH21),1.793,0.415,6.87,273.7,37.3,1.049,2.54,2.4,4570,66,19.88,2011-06-12,2460200.5
       (2011 MC),2.544,0.6167,24.73,91.89,225.33,0.975,4.11,4.06,31,87,21.5,2011-06-02,2460200.5
       (2011 MD),1.056,0.037,2.45,271.56,6.07,1.017,1.1,1.09,967,528,28,2011-06-21,2460200.5
       (2011 ME),1.354,0.7272,24.85,234.36,166.87,0.369,2.34,1.58,4487,150,19.66,2010-03-26,2460200.5
       (2011 MF),2.092,0.465,8.57,100.04,189.28,1.119,3.06,3.03,3285,83,22.26,2005-08-10,2460200.5
       (2011 MJ),1.221,0.2084,10.39,93.87,99.9,0.967,1.48,1.35,8,52,22.8,2011-06-22,2455736.5
       (2011 MK),2.113,0.4668,7.51,262.74,15.28,1.127,3.1,3.07,1154,147,20.78,2011-06-22,2460200.5
       (2011 ML),2.156,0.4384,1.7,296.48,353.37,1.211,3.1,3.17,70,37,22.25,2011-06-22,2460200.5
       (2011 MU),1.35,0.6652,7.3,99.99,281.9,0.452,2.25,1.57,4020,207,20.33,2011-06-23,2460200.5
       (2011 MV),1.315,0.1891,41.12,92.85,48.89,1.067,1.56,1.51,4391,95,21.3,2011-06-02,2460200.5
       (2011 MX),1.431,0.3977,13.46,268.19,297.28,0.862,2,1.71,4,23,26.9,2011-06-23,2455737.5
       (2011 MV1),1.783,0.3023,6.54,253.04,67.04,1.244,2.32,2.38,15830,180,20.17,1980-08-10,2460200.5
       (2011 MW1),1.056,0.2752,3.26,277.1,124.54,0.765,1.35,1.08,955,90,22.36,2011-06-25,2460200.5
       (2011 MD2),2.019,0.4735,8.51,93.04,142.06,1.063,2.98,2.87,2,17,23.5,2011-06-25,2455738.5
       (2011 MW2),2.282,0.5217,7.91,137.92,196.09,1.091,3.47,3.45,2724,48,21,2011-06-26,2460200.5
       (2011 MX2),2.328,0.468,41.61,287.91,16.69,1.238,3.42,3.55,69,66,20.5,2011-06-26,2460200.5
       (2011 MY2),2.159,0.4532,9.6,270.56,8.17,1.181,3.14,3.17,22,50,22.7,2011-06-27,2460200.5
       (2011 MZ2),1.561,0.3229,4.49,275.54,355.11,1.057,2.07,1.95,26,37,25.8,2011-06-27,2455743.5
       (2011 MQ3),1.122,0.11,5.68,274,301.14,0.999,1.25,1.19,23,72,24.8,2011-06-28,2460200.5
       (2011 MN4),2.415,0.4792,8.27,247.25,40.89,1.258,3.57,3.75,31,34,21.8,2011-06-28,2460200.5
       (2011 MO4),2.377,0.5147,5.58,304.4,16.8,1.153,3.6,3.66,4169,423,19.27,2011-06-30,2460200.5
       (2011 ME5),1.902,0.4203,37.27,105.5,261.42,1.102,2.7,2.62,3129,83,19.5,2011-06-30,2460200.5
       (2011 ND),2.265,0.4807,5.06,139.95,151.58,1.176,3.35,3.41,28,68,22.2,2011-07-01,2455747.5
       (2011 NV),1.839,0.3923,15.46,281.87,67.55,1.118,2.56,2.49,55,25,22.5,2011-07-03,2460200.5
       (2011 NY),2.28,0.5548,7.99,247.18,87.72,1.015,3.55,3.44,2689,149,20.5,2011-07-06,2460200.5
       (2011 NZ),2.136,0.4367,6.91,294.04,16,1.203,3.07,3.12,1028,187,20.8,2011-07-06,2460200.5
       (2011 OA),2.16,0.519,9.14,280.86,28.18,1.039,3.28,3.17,1108,112,21.2,2011-07-19,2460200.5
       (2011 OB),0.904,0.5241,27.74,106.23,48.92,0.43,1.38,0.86,9525,69,19.41,1993-08-12,2460200.5
       (2011 OE),2.284,0.5004,1.23,279.43,44.83,1.141,3.43,3.45,93,62,23.3,2011-07-21,2460200.5
       (2011 OV4),2.166,0.4092,7.47,307.16,30.1,1.28,3.05,3.19,3819,602,18.62,2011-07-25,2460200.5
       (2011 OW4),1.944,0.7178,11.55,254.02,163.65,0.549,3.34,2.71,23,53,20.6,2011-07-25,2460200.5
       (2011 OX4),2.422,0.5571,2.41,334.14,325.25,1.073,3.77,3.77,55,57,23.6,2011-07-25,2460200.5
       (2011 OY4),2.133,0.4254,2.99,328.68,329.58,1.226,3.04,3.11,1,10,24.2,2011-07-26,2455769.5
       (2011 OJ5),1.601,0.3023,13.7,128.66,226.61,1.117,2.09,2.03,2138,59,22.45,2011-07-25,2460200.5
       (2011 OK5),1.328,0.1591,12.83,305.07,172.12,1.117,1.54,1.53,7304,49,21.24,2003-01-29,2460200.5
       (2011 OM5),2.596,0.5421,12.44,323.98,13.34,1.189,4,4.18,73,108,21,2011-07-25,2460200.5
       (2011 OQ5),2.345,0.4537,2.3,240.68,121.09,1.281,3.41,3.59,1631,374,19.5,2011-07-26,2460200.5
